year,term,date_time
1928,春分,1928-03-21 04:44:21
1928,清明,1928-04-05 08:54:45
1928,谷雨,1928-04-20 16:16:51
1928,立夏,1928-05-06 02:43:40
1928,小满,1928-05-21 15:52:28
1928,芒种,1928-06-06 07:17:17
1928,夏至,1928-06-22 00:06:33
1928,小暑,1928-07-07 17:44:26
1928,大暑,1928-07-23 11:02:28
1928,立秋,1928-08-08 03:27:40
1928,处暑,1928-08-23 17:53:16
1928,白露,1928-09-08 06:01:51
1928,秋分,1928-09-23 15:05:31
1928,寒露,1928-10-08 21:09:58
1928,霜降,1928-10-23 23:54:34
1928,立冬,1928-11-07 23:49:42
1928,小雪,1928-11-22 21:00:21
1928,大雪,1928-12-07 16:17:28
1928,冬至,1928-12-22 10:03:43
1929,小寒,1929-01-06 03:22:07
1929,大寒,1929-01-20 20:42:12
1929,立春,1929-02-04 15:08:44
1929,雨水,1929-02-19 11:06:51
1929,惊蛰,1929-03-06 09:32:03
1929,春分,1929-03-21 10:34:56
1929,清明,1929-04-05 14:51:24
1929,谷雨,1929-04-20 22:10:26
1929,立夏,1929-05-06 08:40:27
1929,小满,1929-05-21 21:47:43
1929,芒种,1929-06-06 13:10:58
1929,夏至,1929-06-22 06:00:48
1929,小暑,1929-07-07 23:31:53
1929,大暑,1929-07-23 16:53:26
1929,立秋,1929-08-08 09:08:53
1929,处暑,1929-08-23 23:41:21
1929,白露,1929-09-08 11:39:46
1929,秋分,1929-09-23 20:52:25
1929,寒露,1929-10-09 02:47:14
1929,霜降,1929-10-24 05:41:36
1929,立冬,1929-11-08 05:27:36
1929,小雪,1929-11-23 02:48:11
1929,大雪,1929-12-07 21:56:28
1929,冬至,1929-12-22 15:52:46
1930,小寒,1930-01-06 09:02:34
1930,大寒,1930-01-21 02:33:01
1930,立春,1930-02-04 20:51:09
1930,雨水,1930-02-19 16:59:51
1930,惊蛰,1930-03-06 15:16:36
1930,春分,1930-03-21 16:29:48
1930,清明,1930-04-05 20:37:26
1930,谷雨,1930-04-21 04:05:49
1930,立夏,1930-05-06 14:27:04
1930,小满,1930-05-22 03:42:02
1930,芒种,1930-06-06 18:58:09
1930,夏至,1930-06-22 11:52:51
1930,小暑,1930-07-08 05:19:49
1930,大暑,1930-07-23 22:42:00
1930,立秋,1930-08-08 14:57:02
1930,处暑,1930-08-24 05:26:20
1930,白露,1930-09-08 17:28:23
1930,秋分,1930-09-24 02:36:00
1930,寒露,1930-10-09 08:37:38
1930,霜降,1930-10-24 11:26:13
1930,立冬,1930-11-08 11:20:25
1930,小雪,1930-11-23 08:34:33
1930,大雪,1930-12-08 03:50:38
1930,冬至,1930-12-22 21:39:29
1931,小寒,1931-01-06 14:55:38
1931,大寒,1931-01-21 08:17:33
1931,立春,1931-02-05 02:40:47
1931,雨水,1931-02-19 22:40:22
1931,惊蛰,1931-03-06 21:02:14
1931,春分,1931-03-21 22:06:18
1931,清明,1931-04-06 02:20:30
1931,谷雨,1931-04-21 09:39:46
1931,立夏,1931-05-06 20:09:38
1931,小满,1931-05-22 09:15:24
1931,芒种,1931-06-07 00:41:47
1931,夏至,1931-06-22 17:28:06
1931,小暑,1931-07-08 11:05:36
1931,大暑,1931-07-24 04:21:25
1931,立秋,1931-08-08 20:44:55
1931,处暑,1931-08-24 11:10:17
1931,白露,1931-09-08 23:17:20
1931,秋分,1931-09-24 08:23:18
1931,寒露,1931-10-09 14:26:58
1931,霜降,1931-10-24 17:15:32
1931,立冬,1931-11-08 17:09:59
1931,小雪,1931-11-23 14:24:44
1931,大雪,1931-12-08 09:40:22
1931,冬至,1931-12-23 03:29:37
1932,小寒,1932-01-06 20:45:11
1932,大寒,1932-01-21 14:06:53
1932,立春,1932-02-05 08:29:28
1932,雨水,1932-02-20 04:28:28
1932,惊蛰,1932-03-06 02:49:26
1932,春分,1932-03-21 03:53:40
1932,清明,1932-04-05 08:06:23
1932,谷雨,1932-04-20 15:28:09
1932,立夏,1932-05-06 01:55:15
1932,小满,1932-05-21 15:06:44
1932,芒种,1932-06-06 06:27:55
1932,夏至,1932-06-21 23:22:42
1932,小暑,1932-07-07 16:52:22
1932,大暑,1932-07-23 10:18:00
1932,立秋,1932-08-08 02:31:54
1932,处暑,1932-08-23 17:06:15
1932,白露,1932-09-08 05:02:58
1932,秋分,1932-09-23 14:15:54
1932,寒露,1932-10-08 20:09:38
1932,霜降,1932-10-23 23:03:51
1932,立冬,1932-11-07 22:49:37
1932,小雪,1932-11-22 20:10:06
1932,大雪,1932-12-07 15:18:22
1932,冬至,1932-12-22 09:14:18
1933,小寒,1933-01-06 02:23:26
1933,大寒,1933-01-20 19:52:47
1933,立春,1933-02-04 14:09:20
1933,雨水,1933-02-19 10:16:19
1933,惊蛰,1933-03-06 08:31:26
1933,春分,1933-03-21 09:43:06
1933,清明,1933-04-05 13:50:35
1933,谷雨,1933-04-20 21:18:20
1933,立夏,1933-05-06 07:41:57
1933,小满,1933-05-21 20:56:55
1933,芒种,1933-06-06 12:17:34
1933,夏至,1933-06-22 05:11:58
1933,小暑,1933-07-07 22:44:30
1933,大暑,1933-07-23 16:05:35
1933,立秋,1933-08-08 08:25:39
1933,处暑,1933-08-23 22:52:29
1933,白露,1933-09-08 10:57:32
1933,秋分,1933-09-23 20:01:12
1933,寒露,1933-10-09 02:03:56
1933,霜降,1933-10-24 04:48:05
1933,立冬,1933-11-08 04:42:57
1933,小雪,1933-11-23 01:53:23
1933,大雪,1933-12-07 21:11:06
1933,冬至,1933-12-22 14:57:30
1934,小寒,1934-01-06 08:16:37
1934,大寒,1934-01-21 01:36:58
1934,立春,1934-02-04 20:03:43
1934,雨水,1934-02-19 16:01:35
1934,惊蛰,1934-03-06 14:26:20
1934,春分,1934-03-21 15:27:52
1934,清明,1934-04-05 19:43:43
1934,谷雨,1934-04-21 03:00:12
1934,立夏,1934-05-06 13:30:47
1934,小满,1934-05-22 02:34:55
1934,芒种,1934-06-06 18:01:21
1934,夏至,1934-06-22 10:47:54
1934,小暑,1934-07-08 04:24:28
1934,大暑,1934-07-23 21:42:13
1934,立秋,1934-08-08 14:03:44
1934,处暑,1934-08-24 04:32:03
1934,白露,1934-09-08 16:36:09
1934,秋分,1934-09-24 01:45:05
1934,寒露,1934-10-09 07:44:58
1934,霜降,1934-10-24 10:36:12
1934,立冬,1934-11-08 10:26:44
1934,小雪,1934-11-23 07:44:23
1934,大雪,1934-12-08 02:56:38
1934,冬至,1934-12-22 20:49:29
1935,小寒,1935-01-06 14:02:27
1935,大寒,1935-01-21 07:28:24
1935,立春,1935-02-05 01:48:45
1935,雨水,1935-02-19 21:52:00
1935,惊蛰,1935-03-06 20:10:11
1935,春分,1935-03-21 21:17:47
1935,清明,1935-04-06 01:26:24
1935,谷雨,1935-04-21 08:50:11
1935,立夏,1935-05-06 19:12:09
1935,小满,1935-05-22 08:24:52
1935,芒种,1935-06-06 23:41:39
1935,夏至,1935-06-22 16:37:51
1935,小暑,1935-07-08 10:05:35
1935,大暑,1935-07-24 03:32:57
1935,立秋,1935-08-08 19:47:54
1935,处暑,1935-08-24 10:24:01
1935,白露,1935-09-08 22:24:05
1935,秋分,1935-09-24 07:38:05
1935,寒露,1935-10-09 13:35:36
1935,霜降,1935-10-24 16:29:09
1935,立冬,1935-11-08 16:17:31
1935,小雪,1935-11-23 13:35:26
1935,大雪,1935-12-08 08:44:52
1935,冬至,1935-12-23 02:37:07
1936,小寒,1936-01-06 19:46:39
1936,大寒,1936-01-21 13:12:16
1936,立春,1936-02-05 07:29:19
1936,雨水,1936-02-20 03:33:03
1936,惊蛰,1936-03-06 01:49:13
1936,春分,1936-03-21 02:57:52
1936,清明,1936-04-05 07:06:53
1936,谷雨,1936-04-20 14:31:09
1936,立夏,1936-05-06 00:56:37
1936,小满,1936-05-21 14:07:29
1936,芒种,1936-06-06 05:30:47
1936,夏至,1936-06-21 22:21:43
1936,小暑,1936-07-07 15:58:25
1936,大暑,1936-07-23 09:17:59
1936,立秋,1936-08-08 01:43:13
1936,处暑,1936-08-23 16:10:32
1936,白露,1936-09-08 04:20:35
1936,秋分,1936-09-23 13:25:55
1936,寒露,1936-10-08 19:32:27
1936,霜降,1936-10-23 22:18:03
1936,立冬,1936-11-07 22:14:42
1936,小雪,1936-11-22 19:25:00
1936,大雪,1936-12-07 14:42:16
1936,冬至,1936-12-22 08:26:36
1937,小寒,1937-01-06 01:43:46
1937,大寒,1937-01-20 19:00:57
1937,立春,1937-02-04 13:25:36
1937,雨水,1937-02-19 09:20:46
1937,惊蛰,1937-03-06 07:44:33
1937,春分,1937-03-21 08:45:12
1937,清明,1937-04-05 13:01:33
1937,谷雨,1937-04-20 20:19:17
1937,立夏,1937-05-06 06:50:40
1937,小满,1937-05-21 19:57:14
1937,芒种,1937-06-06 11:22:55
1937,夏至,1937-06-22 04:12:08
1937,小暑,1937-07-07 21:46:06
1937,大暑,1937-07-23 15:07:04
1937,立秋,1937-08-08 07:25:29
1937,处暑,1937-08-23 21:57:52
1937,白露,1937-09-08 09:59:28
1937,秋分,1937-09-23 19:12:55
1937,寒露,1937-10-09 01:11:00
1937,霜降,1937-10-24 04:06:35
1937,立冬,1937-11-08 03:55:21
1937,小雪,1937-11-23 01:16:33
1937,大雪,1937-12-07 20:26:19
1937,冬至,1937-12-22 14:21:40
1938,小寒,1938-01-06 07:31:09
1938,大寒,1938-01-21 00:58:46
1938,立春,1938-02-04 19:15:00
1938,雨水,1938-02-19 15:19:38
1938,惊蛰,1938-03-06 13:33:48
1938,春分,1938-03-21 14:43:04
1938,清明,1938-04-05 18:48:38
1938,谷雨,1938-04-21 02:14:40
1938,立夏,1938-05-06 12:35:06
1938,小满,1938-05-22 01:50:04
1938,芒种,1938-06-06 17:06:34
1938,夏至,1938-06-22 10:03:28
1938,小暑,1938-07-08 03:31:22
1938,大暑,1938-07-23 20:57:01
1938,立秋,1938-08-08 13:12:43
1938,处暑,1938-08-24 03:45:48
1938,白露,1938-09-08 15:48:09
1938,秋分,1938-09-24 00:59:34
1938,寒露,1938-10-09 07:01:30
1938,霜降,1938-10-24 09:53:54
1938,立冬,1938-11-08 09:48:24
1938,小雪,1938-11-23 07:06:04
1938,大雪,1938-12-08 02:21:55
1938,冬至,1938-12-22 20:13:20
1939,小寒,1939-01-06 13:27:55
1939,大寒,1939-01-21 06:50:47
1939,立春,1939-02-05 01:10:36
1939,雨水,1939-02-19 21:09:21
1939,惊蛰,1939-03-06 19:26:16
1939,春分,1939-03-21 20:28:26
1939,清明,1939-04-06 00:37:24
1939,谷雨,1939-04-21 07:55:02
1939,立夏,1939-05-06 18:21:00
1939,小满,1939-05-22 07:26:35
1939,芒种,1939-06-06 22:51:35
1939,夏至,1939-06-22 15:39:21
1939,小暑,1939-07-08 09:18:16
1939,大暑,1939-07-24 02:36:35
1939,立秋,1939-08-08 19:03:24
1939,处暑,1939-08-24 09:31:07
1939,白露,1939-09-08 21:42:01
1939,秋分,1939-09-24 06:49:25
1939,寒露,1939-10-09 12:56:39
1939,霜降,1939-10-24 15:45:49
1939,立冬,1939-11-08 15:43:30
1939,小雪,1939-11-23 12:58:22
1939,大雪,1939-12-08 08:16:53
1939,冬至,1939-12-23 02:05:46
1940,小寒,1940-01-06 19:23:34
1940,大寒,1940-01-21 12:44:00
1940,立春,1940-02-05 07:07:32
1940,雨水,1940-02-20 03:03:45
1940,惊蛰,1940-03-06 01:24:00
1940,春分,1940-03-21 02:23:45
1940,清明,1940-04-05 06:34:35
1940,谷雨,1940-04-20 13:50:57
1940,立夏,1940-05-06 00:16:17
1940,小满,1940-05-21 13:23:06
1940,芒种,1940-06-06 05:44:06
1940,夏至,1940-06-21 22:36:24
1940,小暑,1940-07-07 16:08:03
1940,大暑,1940-07-23 09:34:02
1940,立秋,1940-08-08 01:51:35
1940,处暑,1940-08-23 16:28:33
1940,白露,1940-09-08 04:29:18
1940,秋分,1940-09-23 13:45:32
1940,寒露,1940-10-08 19:42:19
1940,霜降,1940-10-23 21:39:15
1940,立冬,1940-11-07 21:26:41
1940,小雪,1940-11-22 18:48:55
1940,大雪,1940-12-07 13:57:50
1940,冬至,1940-12-22 07:54:44
1941,小寒,1941-01-06 01:03:56
1941,大寒,1941-01-20 18:33:40
1941,立春,1941-02-04 12:49:45
1941,雨水,1941-02-19 08:56:25
1941,惊蛰,1941-03-06 07:10:06
1941,春分,1941-03-21 09:20:26
1941,清明,1941-04-05 13:25:02
1941,谷雨,1941-04-20 20:50:33
1941,立夏,1941-05-06 07:10:02
1941,小满,1941-05-21 20:22:55
1941,芒种,1941-06-06 11:39:22
1941,夏至,1941-06-22 04:33:18
1941,小暑,1941-07-07 22:03:08
1941,大暑,1941-07-23 15:26:11
1941,立秋,1941-08-08 07:45:53
1941,处暑,1941-08-23 22:16:56
1941,白露,1941-09-08 10:23:51
1941,秋分,1941-09-23 19:32:49
1941,寒露,1941-10-09 01:38:15
1941,霜降,1941-10-24 04:27:12
1941,立冬,1941-11-08 03:24:03
1941,小雪,1941-11-23 00:37:48
1941,大雪,1941-12-07 19:56:02
1941,冬至,1941-12-22 13:44:13
1942,小寒,1942-01-06 07:02:29
1942,大寒,1942-01-21 00:23:35
1942,立春,1942-02-04 19:48:39
1942,雨水,1942-02-19 15:46:43
1942,惊蛰,1942-03-06 14:09:20
1942,春分,1942-03-21 15:10:34
1942,清明,1942-04-05 19:23:55
1942,谷雨,1942-04-21 02:39:11
1942,立夏,1942-05-06 13:06:54
1942,小满,1942-05-22 02:08:41
1942,芒种,1942-06-06 17:32:30
1942,夏至,1942-06-22 10:16:14
1942,小暑,1942-07-08 03:51:46
1942,大暑,1942-07-23 21:07:26
1942,立秋,1942-08-08 13:30:19
1942,处暑,1942-08-24 03:58:12
1942,白露,1942-09-08 16:06:09
1942,秋分,1942-09-24 01:16:26
1942,寒露,1942-10-09 07:21:48
1942,霜降,1942-10-24 10:15:14
1942,立冬,1942-11-08 10:11:18
1942,小雪,1942-11-23 07:30:30
1942,大雪,1942-12-08 02:46:58
1942,冬至,1942-12-22 20:39:40
1943,小寒,1943-01-06 13:54:59
1943,大寒,1943-01-21 07:19:00
1943,立春,1943-02-05 01:40:10
1943,雨水,1943-02-19 21:40:20
1943,惊蛰,1943-03-06 19:58:33
1943,春分,1943-03-21 21:02:40
1943,清明,1943-04-06 01:11:12
1943,谷雨,1943-04-21 08:31:34
1943,立夏,1943-05-06 18:53:22
1943,小满,1943-05-22 08:02:48
1943,芒种,1943-06-06 23:18:55
1943,夏至,1943-06-22 16:12:09
1943,小暑,1943-07-08 09:38:47
1943,大暑,1943-07-24 03:04:27
1943,立秋,1943-08-08 19:18:31
1943,处暑,1943-08-24 09:54:58
1943,白露,1943-09-08 21:55:04
1943,秋分,1943-09-24 07:11:34
1943,寒露,1943-10-09 13:10:22
1943,霜降,1943-10-24 16:08:14
1943,立冬,1943-11-08 15:58:44
1943,小雪,1943-11-23 13:21:31
1943,大雪,1943-12-08 08:32:52
1943,冬至,1943-12-23 02:29:07
1944,小寒,1944-01-06 19:39:14
1944,大寒,1944-01-21 13:07:05
1944,立春,1944-02-05 07:22:54
1944,雨水,1944-02-20 03:27:06
1944,惊蛰,1944-03-06 01:40:28
1944,春分,1944-03-21 02:48:34
1944,清明,1944-04-05 06:54:05
1944,谷雨,1944-04-20 14:17:49
1944,立夏,1944-05-06 00:39:51
1944,小满,1944-05-21 13:50:50
1944,芒种,1944-06-06 05:10:58
1944,夏至,1944-06-21 22:02:17
1944,小暑,1944-07-07 15:36:02
1944,大暑,1944-07-23 08:55:51
1944,立秋,1944-08-08 01:18:48
1944,处暑,1944-08-23 15:46:25
1944,白露,1944-09-08 03:55:28
1944,秋分,1944-09-23 13:01:33
1944,寒露,1944-10-08 19:08:41
1944,霜降,1944-10-23 21:55:54
1944,立冬,1944-11-07 21:54:40
1944,小雪,1944-11-22 19:07:29
1944,大雪,1944-12-07 14:27:41
1944,冬至,1944-12-22 08:14:45
1945,小寒,1945-01-06 01:34:28
1945,大寒,1945-01-20 18:53:34
1945,立春,1945-02-04 13:19:23
1945,雨水,1945-02-19 09:14:50
1945,惊蛰,1945-03-06 07:38:04
1945,春分,1945-03-21 08:37:15
1945,清明,1945-04-05 12:51:52
1945,谷雨,1945-04-20 20:06:54
1945,立夏,1945-05-06 06:36:36
1945,小满,1945-05-21 19:40:16
1945,芒种,1945-06-06 11:05:26
1945,夏至,1945-06-22 03:52:07
1945,小暑,1945-07-07 21:26:49
1945,大暑,1945-07-23 14:45:24
1945,立秋,1945-08-08 07:05:02
1945,处暑,1945-08-23 21:35:11
1945,白露,1945-09-08 08:38:06
1945,秋分,1945-09-23 17:49:42
1945,寒露,1945-10-08 23:49:12
1945,霜降,1945-10-24 02:43:36
1945,立冬,1945-11-08 02:34:15
1945,小雪,1945-11-22 23:55:11
1945,大雪,1945-12-07 19:07:38
1945,冬至,1945-12-22 13:03:31
1946,小寒,1946-01-06 06:16:17
1946,大寒,1946-01-20 23:44:37
1946,立春,1946-02-04 18:03:54
1946,雨水,1946-02-19 14:08:34
1946,惊蛰,1946-03-06 12:24:40
1946,春分,1946-03-21 13:32:41
1946,清明,1946-04-05 17:38:34
1946,谷雨,1946-04-21 01:02:09
1946,立夏,1946-05-06 11:21:29
1946,小满,1946-05-22 01:33:52
1946,芒种,1946-06-06 16:48:43
1946,夏至,1946-06-22 09:44:19
1946,小暑,1946-07-08 03:10:53
1946,大暑,1946-07-23 20:37:02
1946,立秋,1946-08-08 12:51:39
1946,处暑,1946-08-24 03:26:20
1946,白露,1946-09-08 15:27:25
1946,秋分,1946-09-24 00:40:38
1946,寒露,1946-10-09 05:40:52
1946,霜降,1946-10-24 08:34:50
1946,立冬,1946-11-08 08:27:15
1946,小雪,1946-11-23 05:46:20
1946,大雪,1946-12-08 01:00:11
1946,冬至,1946-12-22 18:53:18
1947,小寒,1947-01-06 12:06:23
1947,大寒,1947-01-21 05:31:35
1947,立春,1947-02-04 23:50:28
1947,雨水,1947-02-19 19:51:57
1947,惊蛰,1947-03-06 18:08:01
1947,春分,1947-03-21 19:12:40
1947,清明,1947-04-05 23:20:12
1947,谷雨,1947-04-21 07:39:25
1947,立夏,1947-05-06 18:03:02
1947,小满,1947-05-22 07:09:05
1947,芒种,1947-06-06 22:31:15
1947,夏至,1947-06-22 15:18:50
1947,小暑,1947-07-08 08:55:48
1947,大暑,1947-07-24 02:14:09
1947,立秋,1947-08-08 18:40:48
1947,处暑,1947-08-24 09:08:55
1947,白露,1947-09-08 21:21:01
1947,秋分,1947-09-24 06:28:34
1947,寒露,1947-10-09 12:37:17
1947,霜降,1947-10-24 15:25:47
1947,立冬,1947-11-08 14:24:21
1947,小雪,1947-11-23 11:37:31
1947,大雪,1947-12-08 06:56:09
1947,冬至,1947-12-23 00:42:39
1948,小寒,1948-01-06 18:00:14
1948,大寒,1948-01-21 11:18:23
1948,立春,1948-02-05 05:42:05
1948,雨水,1948-02-20 01:36:42
1948,惊蛰,1948-03-05 23:57:58
1948,春分,1948-03-21 00:56:48
1948,清明,1948-04-05 05:09:23
1948,谷雨,1948-04-20 12:24:56
1948,立夏,1948-05-05 23:52:19
1948,小满,1948-05-21 12:57:46
1948,芒种,1948-06-06 04:20:29
1948,夏至,1948-06-21 21:10:41
1948,小暑,1948-07-07 14:43:34
1948,大暑,1948-07-23 08:07:30
1948,立秋,1948-08-08 00:26:22
1948,处暑,1948-08-23 15:02:29
1948,白露,1948-09-08 03:05:01
1948,秋分,1948-09-23 12:21:38
1948,寒露,1948-10-08 17:20:16
1948,霜降,1948-10-23 20:17:57
1948,立冬,1948-11-07 20:06:31
1948,小雪,1948-11-22 17:28:48
1948,大雪,1948-12-07 12:37:37
1948,冬至,1948-12-22 06:33:15
1949,小寒,1949-01-05 23:41:08
1949,大寒,1949-01-20 17:08:34
1949,立春,1949-02-04 11:22:48
1949,雨水,1949-02-19 07:27:04
1949,惊蛰,1949-03-06 05:39:13
1949,春分,1949-03-21 06:48:02
1949,清明,1949-04-05 10:51:56
1949,谷雨,1949-04-20 18:17:18
1949,立夏,1949-05-06 05:36:39
1949,小满,1949-05-21 18:50:41
1949,芒种,1949-06-06 09:06:54
1949,夏至,1949-06-22 02:02:44
1949,小暑,1949-07-07 19:31:40
1949,大暑,1949-07-23 12:56:43
1949,立秋,1949-08-08 05:15:00
1949,处暑,1949-08-23 19:48:16
1949,白露,1949-09-08 07:54:09
1949,秋分,1949-09-23 17:05:50
1949,寒露,1949-10-08 23:11:00
1949,霜降,1949-10-24 02:02:58
1949,立冬,1949-11-08 01:59:45
1949,小雪,1949-11-22 23:16:05
1949,大雪,1949-12-07 18:33:28
1949,冬至,1949-12-22 12:22:58
1950,小寒,1950-01-06 05:38:51
1950,大寒,1950-01-20 22:59:39
1950,立春,1950-02-04 17:20:46
1950,雨水,1950-02-19 13:17:23
1950,惊蛰,1950-03-06 11:35:22
1950,春分,1950-03-21 12:35:03
1950,清明,1950-04-05 16:44:31
1950,谷雨,1950-04-20 23:59:10
1950,立夏,1950-05-06 10:24:48
1950,小满,1950-05-21 23:27:13
1950,芒种,1950-06-06 14:51:03
1950,夏至,1950-06-22 07:36:06
1950,小暑,1950-07-08 01:13:20
1950,大暑,1950-07-23 18:30:00
1950,立秋,1950-08-08 10:55:16
1950,处暑,1950-08-24 01:23:15
1950,白露,1950-09-08 13:33:44
1950,秋分,1950-09-23 22:43:34
1950,寒露,1950-10-09 04:51:43
1950,霜降,1950-10-24 07:44:44
1950,立冬,1950-11-08 07:43:46
1950,小雪,1950-11-23 05:02:32
1950,大雪,1950-12-08 00:21:45
1950,冬至,1950-12-22 18:13:25
1951,小寒,1951-01-06 11:30:30
1951,大寒,1951-01-21 04:52:09
1951,立春,1951-02-04 23:13:30
1951,雨水,1951-02-19 19:09:41
1951,惊蛰,1951-03-06 17:26:40
1951,春分,1951-03-21 18:25:44
1951,清明,1951-04-05 22:32:39
1951,谷雨,1951-04-21 05:48:09
1951,立夏,1951-05-06 16:09:18
1951,小满,1951-05-22 05:15:27
1951,芒种,1951-06-06 20:32:36
1951,夏至,1951-06-22 13:24:49
1951,小暑,1951-07-08 06:53:54
1951,大暑,1951-07-24 00:20:38
1951,立秋,1951-08-08 16:37:29
1951,处暑,1951-08-24 07:16:02
1951,白露,1951-09-08 19:18:03
1951,秋分,1951-09-24 04:36:40
1951,寒露,1951-10-09 10:36:17
1951,霜降,1951-10-24 13:36:01
1951,立冬,1951-11-08 13:26:38
1951,小雪,1951-11-23 10:51:10
1951,大雪,1951-12-08 06:02:22
1951,冬至,1951-12-23 00:00:08
1952,小寒,1952-01-06 17:09:48
1952,大寒,1952-01-21 10:38:29
1952,立春,1952-02-05 04:52:59
1952,雨水,1952-02-20 00:56:48
1952,惊蛰,1952-03-05 23:07:25
1952,春分,1952-03-21 00:13:49
1952,清明,1952-04-05 04:15:11
1952,谷雨,1952-04-20 11:36:41
1952,立夏,1952-05-05 21:54:09
1952,小满,1952-05-21 11:03:52
1952,芒种,1952-06-06 02:20:24
1952,夏至,1952-06-21 19:12:34
1952,小暑,1952-07-07 12:44:43
1952,大暑,1952-07-23 06:07:32
1952,立秋,1952-08-07 22:31:00
1952,处暑,1952-08-23 13:02:50
1952,白露,1952-09-08 01:13:37
1952,秋分,1952-09-23 10:23:34
1952,寒露,1952-10-08 16:32:18
1952,霜降,1952-10-23 19:22:06
1952,立冬,1952-11-07 19:21:32
1952,小雪,1952-11-22 16:35:38
1952,大雪,1952-12-07 11:55:37
1952,冬至,1952-12-22 05:43:10
1953,小寒,1953-01-05 23:02:06
1953,大寒,1953-01-20 16:21:19
1953,立春,1953-02-04 10:45:56
1953,雨水,1953-02-19 06:41:05
1953,惊蛰,1953-03-06 05:02:32
1953,春分,1953-03-21 06:00:33
1953,清明,1953-04-05 10:12:42
1953,谷雨,1953-04-20 17:25:23
1953,立夏,1953-05-06 03:52:17
1953,小满,1953-05-21 16:52:50
1953,芒种,1953-06-06 08:16:07
1953,夏至,1953-06-22 01:00:00
1953,小暑,1953-07-07 18:34:59
1953,大暑,1953-07-23 11:52:11
1953,立秋,1953-08-08 04:14:38
1953,处暑,1953-08-23 18:45:11
1953,白露,1953-09-08 06:52:47
1953,秋分,1953-09-23 16:05:54
1953,寒露,1953-10-08 22:10:29
1953,霜降,1953-10-24 01:06:15
1953,立冬,1953-11-08 01:00:58
1953,小雪,1953-11-22 22:22:00
1953,大雪,1953-12-07 17:36:58
1953,冬至,1953-12-22 11:31:24
1954,小寒,1954-01-06 04:45:19
1954,大寒,1954-01-20 22:11:07
1954,立春,1954-02-04 16:30:47
1954,雨水,1954-02-19 12:32:26
1954,惊蛰,1954-03-06 10:48:37
1954,春分,1954-03-21 11:53:29
1954,清明,1954-04-05 15:59:12
1954,谷雨,1954-04-20 23:19:33
1954,立夏,1954-05-06 09:38:10
1954,小满,1954-05-21 22:47:22
1954,芒种,1954-06-06 14:00:52
1954,夏至,1954-06-22 06:54:05
1954,小暑,1954-07-08 00:19:20
1954,大暑,1954-07-23 17:45:02
1954,立秋,1954-08-08 09:59:11
1954,处暑,1954-08-24 00:35:55
1954,白露,1954-09-08 12:37:53
1954,秋分,1954-09-23 21:55:17
1954,寒露,1954-10-09 03:57:23
1954,霜降,1954-10-24 06:56:28
1954,立冬,1954-11-08 06:50:37
1954,小雪,1954-11-23 04:14:11
1954,大雪,1954-12-07 23:28:25
1954,冬至,1954-12-22 17:24:18
1955,小寒,1955-01-06 10:35:56
1955,大寒,1955-01-21 04:02:00
1955,立春,1955-02-04 22:17:51
1955,雨水,1955-02-19 18:18:59
1955,惊蛰,1955-03-06 16:31:12
1955,春分,1955-03-21 17:35:14
1955,清明,1955-04-05 21:38:55
1955,谷雨,1955-04-21 04:57:56
1955,立夏,1955-05-06 15:18:04
1955,小满,1955-05-22 04:24:22
1955,芒种,1955-06-06 19:43:26
1955,夏至,1955-06-22 12:31:20
1955,小暑,1955-07-08 06:05:51
1955,大暑,1955-07-23 23:24:32
1955,立秋,1955-08-08 15:50:02
1955,处暑,1955-08-24 06:18:56
1955,白露,1955-09-08 18:31:46
1955,秋分,1955-09-24 03:40:54
1955,寒露,1955-10-09 09:52:11
1955,霜降,1955-10-24 12:43:03
1955,立冬,1955-11-08 12:45:14
1955,小雪,1955-11-23 10:00:52
1955,大雪,1955-12-08 05:22:53
1955,冬至,1955-12-22 23:10:56
1956,小寒,1956-01-06 16:30:28
1956,大寒,1956-01-21 09:48:28
1956,立春,1956-02-05 04:12:12
1956,雨水,1956-02-20 00:04:55
1956,惊蛰,1956-03-05 22:24:45
1956,春分,1956-03-20 23:20:32
1956,清明,1956-04-05 03:31:24
1956,谷雨,1956-04-20 10:43:39
1956,立夏,1956-05-05 21:10:10
1956,小满,1956-05-21 10:12:46
1956,芒种,1956-06-06 01:35:56
1956,夏至,1956-06-21 18:23:48
1956,小暑,1956-07-07 11:58:00
1956,大暑,1956-07-23 05:19:52
1956,立秋,1956-08-07 21:40:15
1956,处暑,1956-08-23 12:14:50
1956,白露,1956-09-08 00:19:05
1956,秋分,1956-09-23 09:35:08
1956,寒露,1956-10-08 15:36:02
1956,霜降,1956-10-23 18:34:24
1956,立冬,1956-11-07 18:25:58
1956,小雪,1956-11-22 15:49:54
1956,大雪,1956-12-07 11:02:10
1956,冬至,1956-12-22 04:59:33
1957,小寒,1957-01-05 22:10:30
1957,大寒,1957-01-20 15:38:43
1957,立春,1957-02-04 09:54:41
1957,雨水,1957-02-19 05:58:03
1957,惊蛰,1957-03-06 04:10:08
1957,春分,1957-03-21 05:16:31
1957,清明,1957-04-05 09:18:51
1957,谷雨,1957-04-20 16:41:16
1957,立夏,1957-05-06 02:58:26
1957,小满,1957-05-21 16:10:26
1957,芒种,1957-06-06 07:24:48
